SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,option No.,Remarks_1
24327,686427,-,-,-,-,"Deemed/Paid
Seats Quota","BVDU Dental College
and Hospital, Navi
Mumbai",BDS,Open,GN,1,"Fresh Allotted
in 2nd Round"
24328,686466,-,-,-,-,"Deemed/Paid
Seats Quota","Meenakshi Ammal
Dental College and
Host., Chennai1",BDS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24329,686568,-,-,-,-,"Deemed/Paid
Seats Quota","VMKV Medical
College and Hospital,
Salem",MBBS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24330,686704,-,-,-,-,All India,"Government Medical
College, Ariyalur",MBBS,OBC PwD,OBC PwD,3,"Fresh Allotted
in 2nd Round"
24331,686705,"Deemed/Pa
id Seats
Quota","Sri Lakshmi Narayana
Inst. of Med. Scien.,
Puducherry",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24332,686913,"Deemed/Pa
id Seats
Quota","Kalinga Institute of
Dental Sciences,
Bhubaneswar",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24333,687061,-,-,-,-,"Deemed/Paid
Seats Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,Open,GN,1,"Fresh Allotted
in 2nd Round"
24334,687212,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
24335,687440,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24336,687568,"Jain
Minority
Quota","K M Shah Dental
Collegel, SumanDeep
Vidyapeeth Vadodara",BDS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24337,687678,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,Reported,"Deemed/Paid
Seats Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,Open,OBC,21,Upgraded
24338,687919,-,-,-,-,"Deemed/Paid
Seats Quota","Mahatma Gandhi
Medical College,
Pondicherry",MBBS,Open,GN,11,"Fresh Allotted
in 2nd Round"
24339,687997,"Deemed/Pa
id Seats
Quota","Chettinad Hos. and
Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
24340,688296,"Deemed/Pa
id Seats
Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24341,688321,"Deemed/Pa
id Seats
Quota","Santosh Dental
College and Hospital,
Ghaziabad",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24342,688550,"Deemed/Pa
id Seats
Quota","KLE VK Inst. of
Dental Scie. Belagavi",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24343,688574,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24344,688590,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24345,688623,-,-,-,-,"Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,OBC,3,"Fresh Allotted
in 2nd Round"
24346,688773,-,-,-,-,"Deemed/Paid
Seats Quota","Sri Siddhartha
DentalCollege,
Tumkur",BDS,Open,OBC,7,"Fresh Allotted
in 2nd Round"
24347,688779,-,-,-,-,"Deemed/Paid
Seats Quota","Mahatma Gandhi
Medical College,
Pondicherry",MBBS,Open,GN,35,"Fresh Allotted
in 2nd Round"
24348,688932,-,-,-,-,All India,"GOVERMENT
MEDICAL COLLEGE
NANDURBAR
MAHARARASTRA",MBBS,Open PwD,GN PwD,24,"Fresh Allotted
in 2nd Round"
24349,688970,-,-,-,-,"Deemed/Paid
Seats Quota","ACS Medical College
and Hospital, Chennai",MBBS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24350,689008,-,-,-,-,"Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,OBC,3,"Fresh Allotted
in 2nd Round"
24351,689048,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24352,689053,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24353,689581,"Deemed/Pa
id Seats
Quota","MANAV RACHNA
DENTAL COLLEGE
FARIDABAD",BDS,"Not
Reported","Deemed/Paid
Seats Quota","Aarupadai Veedu
Medical College and
Hospt., Puducherry",MBBS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24354,689585,"Non-
Resident
Indian","Yenepoya Medical
College, Mangalore",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24355,689743,All India,"Burdwan Dental
College & Hospital,
Burdwan",BDS,"Not
Reported",All India,"Fakhruddin Ali Ahmed
Medical College,
Barpeta",MBBS,Open PwD,OBC PwD,126,"Fresh Allotted
in 2nd Round"
24356,690184,"Deemed/Pa
id Seats
Quota","Sri Lakshmi Narayana
Inst. of Med. Scien.,
Puducherry",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24357,690430,-,-,-,-,"Deemed/Paid
Seats Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,Open,GN,2,"Fresh Allotted
in 2nd Round"
24358,690574,-,-,-,-,"Non-Resident
Indian","Institute of Medical
Sciences and SUM
Host., Bhubaneswar",MBBS,Open,SC,1,"Fresh Allotted
in 2nd Round"
24359,690724,"Deemed/Pa
id Seats
Quota","Sri Lakshmi Narayana
Inst. of Med. Scien.,
Puducherry",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
24360,690778,"Deemed/Pa
id Seats
Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,"Not
Reported","Deemed/Paid
Seats Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24361,691031,"Deemed/Pa
id Seats
Quota","Sharad Pawar Dental
College and Hospital,
Wardha",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24362,691143,"Deemed/Pa
id Seats
Quota","SRI LALITHAMBIGAI
MEDICAL COLLEGE
& HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24363,691465,"Deemed/Pa
id Seats
Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24364,691486,"Deemed/Pa
id Seats
Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24365,691560,"Deemed/Pa
id Seats
Quota","Dr. DY Patil Dental
College and Hosp.
Navi Mumbai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24366,691636,"Deemed/Pa
id Seats
Quota","Dr. DY Patil Dental
College and Hosp.
Navi Mumbai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24367,691640,"Deemed/Pa
id Seats
Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24368,691651,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,"Not
Reported","Deemed/Paid
Seats Quota","BHAARATH
MEDICAL COLLEGE
AND HOSPITAL",MBBS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24369,691708,"Deemed/Pa
id Seats
Quota","AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24370,692036,"Non-
Resident
Indian","Kalinga Institute of
Medical Sciences,
Bhubaneswar",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
24371,692056,-,-,-,-,"Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,GN,7,"Fresh Allotted
in 2nd Round"
24372,692138,"Deemed/Pa
id Seats
Quota","MANAV RACHNA
DENTAL COLLEGE
FARIDABAD",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24373,692203,"Deemed/Pa
id Seats
Quota","Saveetha Dental
College, Chennai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24374,692299,"Deemed/Pa
id Seats
Quota","AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24375,692531,"Deemed/Pa
id Seats
Quota","SRI LALITHAMBIGAI
MEDICAL COLLEGE
& HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24376,692676,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24377,692974,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24378,693028,"Deemed/Pa
id Seats
Quota","Dr. DY Patil Dental
College and Hosp.
Navi Mumbai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24379,693255,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24380,693428,-,-,-,-,"Deemed/Paid
Seats Quota","ACS Medical College
and Hospital, Chennai",MBBS,Open,GN,2,"Fresh Allotted
in 2nd Round"
24381,693478,"Deemed/Pa
id Seats
Quota","Santosh Dental
College and Hospital,
Ghaziabad",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24382,693545,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24383,693772,"Deemed/Pa
id Seats
Quota","SRM Dental College,
Chennai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
