SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Remarks_1,Allotted Quota_2,"Allotte
d
Institu
te",Course_2,Allotted Category,"candidat
e
Category","option
No.",Remarks_2
9540,16244,All India,"Government
Medical College
and District
General
Hospital,Ratnagir
i",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9541,16245,All India,"GOVERNMENT
MEDICAL
COLLEGE
MACHILIPATNA
M",MBBS,"Not
Reported",All India,"SH VASANT
RAO NAIK
GOVT.M.C.,YAV
ATMAL",MBBS,Reported,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9542,16247,-,-,-,-,-,-,-,-,All India,"MG Inst.
of
Medical
Sciences
,
Sevagra
m
Wardha,
VILLAGE
AND PO
SEVAGR
AM
DISTRIC
T
WARDH
A
MAHAR
ASHTRA
442102,
Maharas
htra,
442102",MBBS,OBC,OBC,14,"Fresh
Allotted in
3nd
Round"
9543,16252,All India,"AGARTALA
GOVT.
MEDICAL
COLLEGE,AGA
RTALA",MBBS,"Not
Reported",-,-,-,-,All India,"GVMC,
VILLUPU
RAM,TH
E DEAN,
GOVT.
VILLUPU
RAM
MEDICA
L
COLLEG
E,
TRICHY
TRUNK
ROAD,
MUNDIY
AMPAKK
AM,
VILLUPU
RAM
DISTRIC
T, Tamil
Nadu,
605601",MBBS,Open,GN,37,"Fresh
Allotted in
3nd
Round"
9544,16253,-,-,-,-,All India,"Government
Medcial College,
Gondia",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
9545,16256,All India,"GMERS Medical
College,
Porbandar",MBBS,"Not
Reported",All India,"GOVERNMENT
MEDICAL
COLLEGE,
OSMANABAD",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
9546,16258,All India,"Government
Medical College,
Dindigul",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9547,16260,All India,"KGMC,
LUCKNOW",MBBS,Reported,"Open Seat
Quota","INST.OF
MED.SCIENCES
,
BHU,VARANASI",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
9548,16262,-,-,-,-,All India,"SHRI
BHAUSAHEB
HIRE GOVT.
M.C., DHULE",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9549,16264,-,-,-,-,All India,"Autonomous
State Medical
College,
Pratapgarh",MBBS,"Not
Reported",All India,"Autonom
ous State
Medical
college
Society
Hardoi,G
aura
Danda,
Sitapur
Road,
Hardoi,
Uttar
Pradesh,
241001",MBBS,OBC,OBC,98,"Fresh
Allotted in
3nd
Round"
9550,16265,-,-,-,-,All India,"Lt. B R K
Government
Medical College,
Jagdalpur",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9551,16272,All India,"Government
Medical College,
Sindhudurg",MBBS,"Not
Reported",All India,"GOVERNMENT
MEDICAL
COLLEGE,
LATUR",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9552,16273,All India,"GOVT.
COLLEGE OF
DENTISTRY,
INDORE",BDS,"Not
Reported",All India,"Government
Medical College
Siddipet",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9553,16276,All India,GMC Jangaon,MBBS,"Not
Reported",-,-,-,-,All India,"GOVER
NMENT
MEDICA
L
COLLEG
E,
AKOLA,
Collector
Office
Road,
Near
Ashok
Watika,
Akola.
State
Maharas
htra. Pin
444001,
Maharas
htra,
444001",MBBS,Open,OBC,88,"Fresh
Allotted in
3nd
Round"
9554,16277,All India,"Pt. Raghunath
Murmu Med.
College,
Baripada",MBBS,"Not
Reported",All India,"Sri Jagannath
Medical College
& Hospital, Puri",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
9555,16281,-,-,-,-,All India,"UNS
AUTONOMOUS
STATE
MEDICAL
COLLEGES,
Jaunpur",MBBS,Reported,All India,"Autonom
ous State
Medical
College,
Siddhart
hnagar,A
utonomo
us State
Medical
College
Siddhart
hnagar
71 Ashok
Marg
Village
Mudila
Naugarh
Uttar
Prade,
Uttar
Pradesh,
272207",MBBS,OBC,OBC,72,Upgraded
9556,16282,-,-,-,-,All India,"Government
Medical College
Siddipet",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9557,16283,-,-,-,-,All India,"GOVERNMENT
MEDICAL
COLLEGE
PURNEA",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9558,16284,All India,"Tamralipto
Government
Medical College
& Hospital, West
Bengal",MBBS,"Not
Reported",-,-,-,-,All India,"RUHS
College
of Dental
Science,
Jaipur,R
uhs
College
of dental
science ,
johtwara
road
jaipur,
Rajastha
n,
302016",BDS,Open,GN,30,"Fresh
Allotted in
3nd
Round"
9559,16287,All India,"Jhargram
Government
Medical College
and Hospital,
West Bengal",MBBS,"Not
Reported",All India,"SHRI
BHAUSAHEB
HIRE GOVT.
M.C., DHULE",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9560,16288,All India,"AGARTALA
GOVT.
MEDICAL
COLLEGE,AGA
RTALA",MBBS,"Not
Reported",All India,"Kakatiya Medical
College
Warangal",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9561,16289,All India,"GOVT. DENTAL
COLLEGE &
HOSP.,MUMBAI",BDS,"Not
Reported",-,-,-,-,All India,"GMERS
Medical
College,
Rajpipla,
GMERS
Medical
College,
Rajpipla
Near
Jakat
Naka,
Vadia
Palace,
Rajpipla
Dist
Narmada
,
GUJARA
T.,
Gujarat,
393145",MBBS,Open,OBC,41,"Fresh
Allotted in
3nd
Round"
9562,16290,All India,"Government
Medical College,
Dindigul",MBBS,"Not
Reported",All India,"Govt.
Pudukkottai
Medical College
Hopt., Pudukkott",MBBS,Reported,All India,"IRT
Perundur
ai
Medical
College,
Perundur
ai,GOVE
RNMEN
T
ERODE
MEDICA
L
COLLEG
E
PERUND
URAI,
PERUND
URAI
SANATO
RIUM
POST
ERODE
DISTRIC
T, Tamil
Nadu,
638053",MBBS,Open,OBC,12,Upgraded
9563,16292,-,-,-,-,All India,"GOVERNMENT
MEDICAL
COLLEGE,
LATUR",MBBS,"Not
Reported",All India,"Govt.
Medical
College,
Srinagar,
Administr
ative
Block
Governm
ent
Medical
College
Karan
Nagar
Srinagar,
Jammu
And
Kashmir,
190010",MBBS,OBC,OBC,47,"Fresh
Allotted in
3nd
Round"
9564,16293,All India,"Government
Medical College,
Mahabubabad",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
9565,16295,-,-,-,-,All India,"Govt. Medical
College and
Hospital,
Chandrapur",MBBS,Reported,All India,"MIDNAP
ORE
MEDICA
L
COLLEG
E,
MIDNAP
UR,5
Vidyasag
ar Road
Midnapor
e 721101
Paschim
Medinipu
r, West
Bengal,
721101",MBBS,Open,GN,60,Upgraded
9566,16296,-,-,-,-,All India,"Autonomous
State Medical
college Society
Hardoi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9567,16300,"Delhi
Universit
y Quota","Maulana Azad
Medical College,
New Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
9568,16303,-,-,-,-,All India,"Jannayak
Karpoori Thakur
Medical college
and Hospital,
Madhepura",MBBS,Reported,All India,"Goverme
nt
Medical
College,
Bettiah,G
overnme
nt
Medical
College
Bettiah
West
Champar
an
Bihar-
845438,
Bihar,
845438",MBBS,OBC,OBC,8,Upgraded
9569,16308,All India,"Government
Medical College,
Mahabubangar",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9570,16310,-,-,-,-,All India,"UNS
AUTONOMOUS
STATE
MEDICAL
COLLEGES,
Jaunpur",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9571,16311,"Open
Seat
Quota",AIIMS Rajkot,MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9572,16315,All India,"Government
Medical College,
Doda",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
9573,16316,-,-,-,-,All India,"Autonomous
State Medical
college Society
Hardoi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9574,16317,-,-,-,-,All India,"ACSR Govt
Medical College,
Nellore",MBBS,Reported,All India,"Indira
Gandhi
Medical
College
& RI,
Puduche
rry,Vazh
udavour
Road,
Kadirkam
am,
Puduche
rry,
605009",MBBS,Open,GN,78,Upgraded
9575,16318,All India,"Bhima Bhoi
Medical College
and Hospital ,
Balangir",MBBS,"Not
Reported",All India,"ASSAM
MEDICAL
COLLEGE,
DIBRUGARH",MBBS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
9576,16319,All India,"Govt. Medical
College Rajanna
Sircilla",MBBS,"Not
Reported",All India,"GOVT. DENTAL
COLLEGE &
HOSP.,NAGPUR",BDS,"Not
Reported",All India,"Goverme
nt
Medical
College,
Bettiah,G
overnme
nt
Medical
College
Bettiah
West
Champar
an
Bihar-
845438,
Bihar,
845438",MBBS,OBC,OBC,24,"Fresh
Allotted in
3nd
Round"
9577,16320,-,-,-,-,All India,"Government
Medical College
Khaleelwadi",MBBS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
9578,16321,-,-,-,-,-,-,-,-,All India,"Govt
Medical
College
Shahdol,
GRAM
CHAMP
A KUDRI
ROAD
NEAR
NEW
BUS
STAND
SHAHD
OL MP,
Madhya
Pradesh,
484001",MBBS,Open,OBC,90,"Fresh
Allotted in
3nd
Round"
9579,16325,All India,"NALANDA
MEDICAL
COLLEGE,
PATNA",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
9580,16326,"Open
Seat
Quota",AIIMS Bathinda,MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9581,16327,All India,"Government
Medical College
Suryapet",MBBS,"Not
Reported",All India,"Govt. Medical
College,
Udhampur",MBBS,Reported,All India,"Karwar
Institute
of
Medical
Sciences
,
Karwar,D
ISTRICT
HOSPIT
AL
PREMIS
ES, MG
ROAD,
KARWA
R,
Karnatak
a,
581301",MBBS,Open,OBC,82,Upgraded
9582,16328,-,-,-,-,All India,"Government
Medical College,
ESIC, Kollam",MBBS,Reported,All India,"SHEIKH
BHIKHA
RI
MEDICA
L
COLLEG
E &
HOSPIT
AL,
HAZARI
BAG (
Formerly
called
as-
Hazariba
gh
Medical
College,
Hazariba
g),NEAR
CENTRA
L JAIL,
HAZARI
BAG,
Jharkhan
d,
825301",MBBS,EWS,EWS,42,Upgraded
9583,16333,-,-,-,-,All India,"Jannayak
Karpoori Thakur
Medical college
and Hospital,
Madhepura",MBBS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
9584,16334,-,-,-,-,All India,"GOVERMENT
MEDICAL
COLLEGE
NANDURBAR
MAHARARASTR
A",MBBS,Reported,All India,"SHRI
BHAUSA
HEB
HIRE
GOVT.
M.C.,
DHULE,
Shri.Bhu
saheb
Hire
Governm
ent
Medical
College
Malegao
n Road
Chakkar
bardi
Area
Dhule,
Maharas
htra,
424311",MBBS,Open,GN,101,Upgraded
9585,16337,All India,"GMERS Medical
College,
Porbandar",MBBS,"Not
Reported",All India,"Autonomous
State Medical
College Society ,
Mirzapur",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9586,16338,All India,"Maharaja
Jitendra Narayan
Medical College
and Hospital
Coochbehar",MBBS,"Not
Reported",-,-,-,-,All India,"GOVER
NMENT
MEDICA
L
COLLEG
E,
MIRAJ,P
andharpu
r Road
Miraj tal
Miraj Dist
sangli,
Maharas
htra,
416410",MBBS,EWS,EWS,100,"Fresh
Allotted in
3nd
Round"
9587,16340,-,-,-,-,-,-,-,-,All India,"UNS
AUTON
OMOUS
STATE
MEDICA
L
COLLEG
ES,
Jaunpur,
UNS
AUTON
OMOUS
STATE
MEDICA
L
COLLEG
E
SIDDIQU
EPUR
SHAHGA
NJ
ROAD
JAUNPU
R UP,
Uttar
Pradesh,
222003",MBBS,Open,GN,81,"Fresh
Allotted in
3nd
Round"
9588,16342,All India,"GMERS Medical
College, Rajpipla",MBBS,"Not
Reported",All India,"Government of
Medical College
and Hospital,
Balasore",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9589,16343,All India,"YADGIRI
INSTITUTE OF
MEDICAL
SCIENCES,
YADGIRI",MBBS,"Not
Reported",All India,"Autonomous
State Medical
College Society ,
Mirzapur",MBBS,Reported,All India,"Sri
Venkates
wara
Medical
College,
Tirupati,
NEAR
VIVEKA
NDANDA
CIRCLE,
ALIPIRI
ROAD
TIRUPA
TI,
Andhra
Pradesh,
517507",MBBS,OBC,OBC,67,Upgraded
9590,16346,All India,"GRANT
MEDICAL COLL
& SIR
J.J.HOSP,MUMB
AI",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
9591,16350,-,-,-,-,All India,"MAHARSHI
DEVRAHA
BABA
AUTONOMOUS
STATE.
MEDICAL
COLLEGE,
DEORIA",MBBS,Reported,All India,"Autonom
ous State
Medical
College
Society ,
Mirzapur,
Piparada
rh,
Visunder
pur, Uttar
Pradesh,
231001",MBBS,EWS,EWS,86,Upgraded
9592,16355,All India,"Government
Medical College,
Ariyalur",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9593,16360,All India,"Chikkamagaluru
Institute of
Medical
Sciences",MBBS,"Not
Reported",All India,"Govt. Sivgangai
M. C. Sivagangai",MBBS,Reported,All India,"Siddarth
a
Medical
College,
Vijayawa
da,Besid
e New
Governm
ent
General
Hospital
Gunadal
a
Vijayawa
da,
Andhra
Pradesh,
520008",MBBS,Open,GN,75,Upgraded
9594,16361,-,-,-,-,-,-,-,-,All India,"Veer
Chandra
Singh
Garhwali
Govt.
Institute
of
Medical
Science
&
Researc
h,BADRI
NATH
MARG,
SRIKOT,
SRINAG
AR -
PAURI
GARHW
AL,
Uttarakh
and,
246178",MBBS,OBC,OBC,41,"Fresh
Allotted in
3nd
Round"
9595,16365,"Employe
es State
Insuranc
e
Scheme(
ESI)","Government
Medical College,
ESIC, Kollam",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
9596,16367,All India,"BIDAR
INSTITUTE OF
MEDICAL SCI.,
BIDAR",MBBS,"Not
Reported",All India,"SHIMOGA INST.
OF MEDICAL
SCI., SHIMOGA",MBBS,Reported,All India,"Govt
Medical
College
Baramati
,Plot No
P107
MIDC
area
Opposite
Women
Hospital
Baramati
Taluka
Baramati
District
Pune,
Maharas
htra,
413133",MBBS,EWS,EWS,42,Upgraded
9597,16370,-,-,-,-,All India,"MIDNAPORE
MEDICAL
COLLEGE,
MIDNAPUR",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9598,16372,All India,"Government
Medical College,
Ariyalur",MBBS,Reported,All India,"Government
Medical College,
Dindigul",MBBS,Reported,All India,"GVMC,
VILLUPU
RAM,TH
E DEAN,
GOVT.
VILLUPU
RAM
MEDICA
L
COLLEG
E,
TRICHY
TRUNK
ROAD,
MUNDIY
AMPAKK
AM,
VILLUPU
RAM
DISTRIC
T, Tamil
Nadu,
605601",MBBS,Open,GN,28,Upgraded
9599,16373,All India,"Government
Medical College,
Mahabubangar",MBBS,Reported,All India,"Sri
Venkateswara
Medical College,
Tirupati",MBBS,Reported,All India,"ESIC
Medical
College
AND
PGIMSR,
Chennai,
ASHOK
PILLAR
ROAD
KK
NAGAR
CHENNA
I, Tamil
Nadu,
600078",MBBS,OBC,OBC,88,Upgraded
9600,16375,All India,"Government
Medical College,
Churachandpur",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9601,16377,-,-,-,-,All India,"UNS
AUTONOMOUS
STATE
MEDICAL
COLLEGES,
Jaunpur",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9602,16378,All India,"Government
Medical College
Siddipet",MBBS,"Not
Reported",-,-,-,-,All India,"BIDAR
INSTITU
TE OF
MEDICA
L SCI.,
BIDAR,B
IDAR
INSTITU
TE OF
MEDICA
L
SCIENC
ES
BIDAR
UDGIR
ROAD
BIDAR-
585401,
Karnatak
a,
585401",MBBS,Open,GN,47,"Fresh
Allotted in
3nd
Round"
9603,16381,All India,"Government
medical College,
Namakkal",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
9604,16384,All India,"Govt Medical
College
Nalgonda",MBBS,"Not
Reported",All India,"Government
Medical College,
Thiruvallur",MBBS,"Not
Reported",All India,"SHIMOG
A INST.
OF
MEDICA
L SCI.,
SHIMOG
A,SAGA
R ROAD,
MCGAN
N
HOSPIT
AL
CAMPU
S,
SHIVAM
OGGA,
Karnatak
a,
577201",MBBS,Open,GN,136,"Fresh
Allotted in
3nd
Round"
9605,16386,All India,"Tomo Riba
Institute Health
and Medical
Sciences,
Naharlagun",MBBS,"Not
Reported",All India,"GOVERMENT
MEDICAL
COLLEGE
NANDURBAR
MAHARARASTR
A",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
9606,16388,All India,"Government
Medical College,
Sindhudurg",MBBS,"Not
Reported",All India,"SH VASANT
RAO NAIK
GOVT.M.C.,YAV
ATMAL",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9607,16389,-,-,-,-,All India,"Government
Medcial College,
Gondia",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
9608,16392,All India,"Tamralipto
Government
Medical College
& Hospital, West
Bengal",MBBS,"Not
Reported",All India,"SILCHAR
MEDICAL
COLLEGE,
SILCHER",MBBS,Reported,All India,"ASSAM
MEDICA
L
COLLEG
E,
DIBRUG
ARH,Bor
bari,
Dibrugar
h,
Assam,
786002",MBBS,Open,GN,121,Upgraded
9609,16393,All India,"GOVERNMENT
MEDICAL
COLLEGE,
OSMANABAD",MBBS,"Not
Reported",All India,"GOVERNMENT
MEDICAL
COLLEGE,
AKOLA",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9610,16399,All India,"Chandulal
Chandrakar
Memorial
Government
Medical College,
Durg",MBBS,"Not
Reported",All India,"Government
Medcial College,
Gondia",MBBS,Reported,All India,"GOVER
NMENT
MEDICA
L
COLLEG
E,
MIRAJ,P
andharpu
r Road
Miraj tal
Miraj Dist
sangli,
Maharas
htra,
416410",MBBS,EWS,EWS,100,Upgraded
9611,16400,All India,"Maharaja
Jitendra Narayan
Medical College
and Hospital
Coochbehar",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
9612,16401,All India,"Government
Medical College
& Hospital,
Jalpaiguri",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9613,16403,-,-,-,-,All India,"GOVERMENT
MEDICAL
COLLEGE
NANDURBAR
MAHARARASTR
A",MBBS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
9614,16407,All India,"Government
Medical College,
Ramanathapura
m",MBBS,Reported,All India,"Govt. Sivgangai
M. C. Sivagangai",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
9615,16410,-,-,-,-,All India,"Gadag Institute
of Medical
Sciences",MBBS,Reported,All India,"SHIMOG
A INST.
OF
MEDICA
L SCI.,
SHIMOG
A,SAGA
R ROAD,
MCGAN
N
HOSPIT
AL
CAMPU
S,
SHIVAM
OGGA,
Karnatak
a,
577201",MBBS,Open,GN,50,Upgraded
9616,16411,All India,GMC Jangaon,MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
9617,16415,All India,"Chikkamagaluru
Institute of
Medical
Sciences",MBBS,"Not
Reported",All India,"Government
Medical College,
Ananthapuram",MBBS,"Not
Reported",All India,"Siddarth
a
Medical
College,
Vijayawa
da,Besid
e New
Governm
ent
General
Hospital
Gunadal
a
Vijayawa
da,
Andhra
Pradesh,
520008",MBBS,Open,GN,48,"Fresh
Allotted in
3nd
Round"
9618,16416,-,-,-,-,All India,"GOVT. DENTAL
COLLEGE &
HOSP.,AURANG
ABAD",BDS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
9619,16417,All India,"GMERS Medical
College, Morbi",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
9620,16423,-,-,-,-,All India,"Government
Medical College,
Thiruvallur",MBBS,Reported,All India,"IRT
Perundur
ai
Medical
College,
Perundur
ai,GOVE
RNMEN
T
ERODE
MEDICA
L
COLLEG
E
PERUND
URAI,
PERUND
URAI
SANATO
RIUM
POST
ERODE
DISTRIC
T, Tamil
Nadu,
638053",MBBS,OBC,OBC,20,Upgraded
9621,16427,All India,"Karwar Institute
of Medical
Sciences,
Karwar",MBBS,"Not
Reported",All India,"Rajah Muthiah
Medical College,
Annamalai
Universit",MBBS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
9622,16430,"Delhi
NCR
Children/
Widows
of
Personn
el of the
Armed
Forces
(CW)
Quota","Lady Hardinge
Medical College,
New
Delhi(Female
Seat only )",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
