SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,"Option
No.",Remarks_1
21041,442257,MNG,"BVDU Dental College and Hospital, Navi
Mumbai",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21042,442424,AIQ,"ATAL BIHARI VAJPAYEE
GOVERNMENT MEDICAL COLLEGE,
VIDISHA",MBBS,"Seat
Surrendered",-,-,-,-,-,-,Did not fill up fresh choices.,
21043,442573,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21044,442594,-,-,-,-,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,GN,OBC,1,Fresh Allotted in 2nd Round,
21045,442643,-,-,-,-,MNG,"GITAM Institue of Med. Sce. and Res.,
Visakhapatnam",MBBS,GN,GNNO,1,Fresh Allotted in 2nd Round,
21046,442685,MNG,"Manipal College of Dental Science,
Mangalore",BDS,Not Reported,-,-,-,-,-,-,Not Allotted.,
21047,442927,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Reported,MNG,"Mahatma Gandhi Medical College and
Sri Balaji Vidyapeeth, Pondicherry",MBBS,GN,GNNO,1,Upgraded,
21048,443248,MNG,"BVDU Dental College and Hospital, Navi
Mumbai",BDS,Reported,-,-,-,-,-,-,No Upgradation,
21049,443318,MNG,"Santosh Medical College and Hospital,
Ghaziabad",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21050,443336,MNG,"Manipal College of Dental Science,
Mangalore",BDS,Not Reported,-,-,-,-,-,-,Not Allotted.,
21051,443397,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21052,443619,MNG,"Kalinga Institute of Dental Sciences,
Bhubaneswar",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21053,443647,MNG,"ACS Medical College and Hospital,
Chennai",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21054,443839,MNG,"School of Dental Sciences and KIMSDU,
Karad",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21055,443966,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21056,444027,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21057,444030,-,-,-,-,MNG,"DATTA MEGHE MEDICAL COLLEGE
WANADONGRI HINGNA NAGPUR",MBBS,GN,GNNO,2,Fresh Allotted in 2nd Round,
21058,444053,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21059,444169,-,-,-,-,AIQ,"MAHARAJA K.C. GAJAPATI
M.C.,BRAHMAPUR",MBBS,GN PwD,GN PwD,2,Fresh Allotted in 2nd Round,
21060,444206,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21061,444322,MNG,"Shri Sathya Sai Medical College and RI,
Kancheepuram",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21062,444366,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21063,444443,AIQ,"DR.RAJENDRA PRASAD MC, TANDA",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21064,444554,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21065,444579,AIQ,"Kodagu Institute of Medical Sciences,
Kodagu",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21066,444583,AIQ,"Govt. Medical College, Khandwa",MBBS,Not Reported,AMS,AIIMS Jammu,MBBS,OBC PwD,OBC PwD,35,Fresh Allotted in 2nd Round,
21067,444591,-,-,-,-,MNG,"GITAM Institue of Med. Sce. and Res.,
Visakhapatnam",MBBS,GN,EW NO,1,Fresh Allotted in 2nd Round,
21068,444701,-,-,-,-,MNG,"DATTA MEGHE MEDICAL COLLEGE
WANADONGRI HINGNA NAGPUR",MBBS,GN,OBC,283,Fresh Allotted in 2nd Round,
21069,444760,-,-,-,-,MNG,"GITAM Institue of Med. Sce. and Res.,
Visakhapatnam",MBBS,GN,SC,1,Fresh Allotted in 2nd Round,
21070,444813,MM,"Yenepoya Dental College, Yenepoya",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21071,444841,MNG,"Amrita School of Dentistry, Kochi",BDS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21072,444887,MNG,"Sri Ramachandra Dental and Hospt.,
Chennai",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21073,444905,MNG,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,Reported,-,-,-,-,-,-,No Upgradation,
21074,445081,MNG,"Shri Sathya Sai Medical College and RI,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21075,445192,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21076,445200,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Reported,MNG,"Mahatma Gandhi Medical College and
Sri Balaji Vidyapeeth, Pondicherry",MBBS,GN,GNNO,7,Upgraded,
21077,445232,MNG,"Meenakshi Ammal Dental College and
Host., Chennai1",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21078,445330,AIQ,"RUHS College of Dental Science, Jaipur",BDS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21079,445439,NRI,"Kasturba Medical College, Manipal Univ.,
Manipal",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21080,445665,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21081,445727,MNG,"K M Shah Dental Collegel, SumanDeep
Vidyapeeth Vadodara",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21082,445728,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21083,445870,MNG,"School of Dental Sciences and KIMSDU,
Karad",BDS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21084,445985,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21085,446006,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21086,446095,MNG,"Manipal College of Dental Sce., Manipal",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21087,446470,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21088,446505,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21089,446518,-,-,-,-,AIQ,"Government Medcial College, Gondia",MBBS,GN PwD,OBC PwD,11,Fresh Allotted in 2nd Round,
21090,446553,MNG,"Thaimoogambigai Dental College and
Hsopt. Chennai",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21091,446703,MNG,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21092,446769,AIQ,"SILCHAR MEDICAL COLLEGE,
SILCHER",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21093,446812,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,Not Reported,MNG,"Mahatma Gandhi Medical College and
Sri Balaji Vidyapeeth, Pondicherry",MBBS,GN,GNNO,11,Fresh Allotted in 2nd Round,
21094,446817,-,-,-,-,MNG,"Dr. DY Patil Medical College and Hospt.,
Pune",MBBS,GN,OBC,3,Fresh Allotted in 2nd Round,
21095,446820,-,-,-,-,NRI,"Jawahar Lal Nehru Medical College,
Belagavi",MBBS,GN,GNNO,2,Fresh Allotted in 2nd Round,
21096,446843,MNG,"Shri Sathya Sai Medical College and RI,
Kancheepuram",MBBS,Reported,MNG,"GITAM Institue of Med. Sce. and Res.,
Visakhapatnam",MBBS,GN,GNNO,59,Upgraded,
21097,446970,MNG,"Dr. DY Patil Dental College and Hosp.
Pune",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21098,447034,MNG,"Rural Dental College, Loni",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21099,447049,-,-,-,-,MNG,"K M Shah Dental Collegel, SumanDeep
Vidyapeeth Vadodara",BDS,GN,GNNO,39,Fresh Allotted in 2nd Round,
21100,447076,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21101,447131,MNG,"K M Shah Dental Collegel, SumanDeep
Vidyapeeth Vadodara",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21102,447138,-,-,-,-,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,GN,OBC,1,Fresh Allotted in 2nd Round,
21103,447355,MNG,KLE VK Inst. of Dental Scie. Belagavi,BDS,Not Reported,-,-,-,-,-,-,Not Allotted.,
21104,447403,-,-,-,-,AIQ,"ESIC PGIMSR, Joka, Kolkata, WB",MBBS,OBC PwD,OBC PwD,5,Fresh Allotted in 2nd Round,
21105,447458,-,-,-,-,MNG,"JSS Dental College and Hospital,
Jagadguru",BDS,GN,OBC,1,Fresh Allotted in 2nd Round,
21106,447606,-,-,-,-,MNG,"DATTA MEGHE MEDICAL COLLEGE
WANADONGRI HINGNA NAGPUR",MBBS,GN,OBC,1,Fresh Allotted in 2nd Round,
21107,447649,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21108,447653,DU,"University College of Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,Retained*,
21109,447709,-,-,-,-,AMS,"AIIMS, Kalyani",MBBS,EW PwD,EW PwD,3,Fresh Allotted in 2nd Round,
21110,447767,-,-,-,-,AIQ,"Dr. R. N. Cooper General Hospital, Juhu,
Mumbai",MBBS,GN PwD,OBC PwD,18,Fresh Allotted in 2nd Round,
21111,447836,MNG,"ACS Medical College and Hospital,
Chennai",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21112,447886,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Not Reported,MNG,"ACS Medical College and Hospital,
Chennai",MBBS,GN,OBC,40,Fresh Allotted in 2nd Round,
21113,447989,MNG,"Institute of Dental Sciences,
Bhubaneswar",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21114,448145,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21115,448167,MNG,"Thaimoogambigai Dental College and
Hsopt. Chennai",BDS,Reported,-,-,-,-,-,-,No Upgradation,
21116,448227,-,-,-,-,MNG,"Santosh Medical College and Hospital,
Ghaziabad",MBBS,GN,GNNO,28,Fresh Allotted in 2nd Round,
21117,448370,AIQ,"IRT Perundurai Medical College,
Perundurai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21118,448371,MNG,"Indira Gandhi Dental College and SBV,
Pondycherry",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21119,448372,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21120,448389,NRI,"Amrita Institute of Medical Science, Kochi",MBBS,Not Reported,-,-,-,-,-,-,Not Allotted.,
21121,448393,-,-,-,-,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,GN,GNNO,1,Fresh Allotted in 2nd Round,
21122,448399,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Not Reported,MNG,"Aarupadai Veedu Medical College and
Hospt., Puducherry",MBBS,GN,OBC,2,Fresh Allotted in 2nd Round,
21123,448406,-,-,-,-,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,GN,SC,2,Fresh Allotted in 2nd Round,
21124,448438,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21125,448474,MNG,"SATHYABAMA UNIV. Dental College
and Hospt. Chennai",BDS,Not Reported,MNG,"Shri Sathya Sai Medical College and RI,
Kancheepuram",MBBS,GN,OBC,2,Fresh Allotted in 2nd Round,
21126,448481,MNG,"ACS Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21127,448508,-,-,-,-,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,GN,OBC,31,Fresh Allotted in 2nd Round,
21128,448526,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,MNG,"Mahatma Gandhi Medical College and
Sri Balaji Vidyapeeth, Pondicherry",MBBS,GN,GNNO,2,Upgraded,
21129,448637,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21130,448825,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21131,448942,-,-,-,-,MNG,"Aarupadai Veedu Medical College and
Hospt., Puducherry",MBBS,GN,OBC,6,Fresh Allotted in 2nd Round,
21132,449117,NRI,"Sri Ramachandra Med. College and Res.
Inst., Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21133,449165,-,-,-,-,MNG,"Dr. DY Patil Medical College and Hospt.,
Pune",MBBS,GN,GNNO,6,Fresh Allotted in 2nd Round,
21134,449220,-,-,-,-,AIQ,"ESI-MC&PGIMS&R, Banglore",MBBS,EW PwD,EW PwD,9,Fresh Allotted in 2nd Round,
21135,449266,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Not Reported,-,-,-,-,-,-,Not Allotted.,
21136,449342,MNG,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21137,449459,-,-,-,-,MNG,"GITAM Institue of Med. Sce. and Res.,
Visakhapatnam",MBBS,GN,GNNO,1,Fresh Allotted in 2nd Round,
21138,449507,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21139,449687,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21140,449750,MNG,"Dr. DY Patil Dental College and Hosp.
Pune",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21141,449802,-,-,-,-,MNG,KLE VK Inst. of Dental Scie. Belagavi,BDS,GN,EW NO,1,Fresh Allotted in 2nd Round,
21142,449894,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21143,449896,MNG,"VMS Dental College, Salem",BDS,Reported,-,-,-,-,-,-,No Upgradation,
21144,449922,MNG,"Thaimoogambigai Dental College and
Hsopt. Chennai",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21145,449994,MNG,"Manipal College of Dental Sce., Manipal",BDS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21146,450048,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21147,450075,MNG,"Manipal College of Dental Sce., Manipal",BDS,Not Reported,-,-,-,-,-,-,Not Allotted.,
21148,450114,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,GN,OBC,4,Upgraded,
21149,450154,MNG,"Saveetha Dental College, Chennai",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21150,450229,-,-,-,-,MNG,"Dr. DY Patil Medical College and Hospt.,
Pune",MBBS,GN,GNNO,3,Fresh Allotted in 2nd Round,
21151,450542,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Not Reported,MNG,"Aarupadai Veedu Medical College and
Hospt., Puducherry",MBBS,GN,OBC,22,Fresh Allotted in 2nd Round,
21152,450578,MNG,"Institute of Dental Sciences,
Bhubaneswar",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21153,450609,MNG,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21154,450637,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21155,450699,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21156,450762,MNG,"Shri Sathya Sai Medical College and RI,
Kancheepuram",MBBS,Not Reported,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,GN,GNNO,13,Fresh Allotted in 2nd Round,
21157,450795,MNG,"ACS Medical College and Hospital,
Chennai",MBBS,Not Reported,-,-,-,-,-,-,Not Allotted.,
21158,450823,MNG,"Sri Ramachandra Dental and Hospt.,
Chennai",BDS,Not Reported,MNG,"Shri Sathya Sai Medical College and RI,
Kancheepuram",MBBS,GN,OBC,2,Fresh Allotted in 2nd Round,
21159,450835,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21160,450864,MNG,"Sri Ramachandra Dental and Hospt.,
Chennai",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21161,450883,MNG,"Saveetha Dental College, Chennai",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
